"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,DATOS PARA LA MEDICIÓN,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P,,,,,,,,,"GASTO PROMEDIO,  MMPCD"
5.950832936,7.141309779,,6.076252702,8.528962246,,,,,,,6.076252702,7.1319297,8.528962246,,0.735028674,,1017.288425,727.4319699,289.856455,,,,,,,,,
6.074544494,7.131706491,,6.137614372,8.53085122,,,,,,,6.137614372,7.139947732,8.53085122,,0.738069311,,1019.577072,727.7542253,291.8228469,,,,,,,,,
6.142592131,7.140598168,,6.198940365,8.53275589,,,,,,,6.198940365,7.138410779,8.53275589,,0.737078626,,1019.138169,728.0792309,291.058938,,,,,,,,,
6.204172094,7.138207688,,6.260057588,8.535887414,,,,,,,6.260057588,7.137434567,8.535887414,,0.736102063,,1018.859444,728.6137394,290.2457046,,,,,,,,,
6.265603492,7.137357845,,6.324191796,8.522799895,,,,,,,6.324191796,7.119599304,8.522799895,,0.730939984,,1013.773885,726.3811805,287.3927047,,,,,,,,,
6.329776763,7.11790646,,6.388262594,8.544140925,,,,,,,6.388262594,7.121381011,8.544140925,,0.727808862,,1014.28135,730.0234415,284.2579085,,,,,,,,,
6.390763333,7.121529576,,6.448787448,8.518795565,,,,,,,6.448787448,7.125002504,8.518795565,,0.733940508,,1015.313214,725.6987788,289.6144349,,,,,,,,,
6.451670132,7.125175042,,6.513245988,8.507053613,,,,,,,6.513245988,7.141543403,8.507053613,,0.742984885,,1020.032844,723.6996118,296.3332319,,,,,,,,,
6.517787628,7.142750682,,6.575696769,8.536161881,,,,,,,6.575696769,7.117133591,8.536161881,,0.727468092,,1013.071811,728.6605966,284.4112144,,,,,,,,,
6.576565019,7.116749506,,6.63586173,8.517721847,,,,,,,6.63586173,7.137185992,8.517721847,,0.739259248,,1018.788478,725.5158547,293.272623,,,,,,,,,
6.64166355,7.139185577,,6.699625016,8.511953644,,,,,,,6.699625016,7.113643543,8.511953644,,0.730388865,,1012.078489,724.5335484,287.5449408,,,,,,,,,
6.701061484,7.113010531,,6.763272804,8.50772769,,,,,,,6.763272804,7.13628791,8.50772769,,0.740662418,,1018.532103,723.8143045,294.7177981,,,,,,,,,
6.765498721,7.137120773,,6.826088581,8.509437056,,,,,,,6.826088581,7.130390479,8.509437056,,0.737883375,,1016.849368,724.10519,292.7441777,,,,,,,,,
6.829355592,7.130027581,,6.888871332,8.511160951,,,,,,,6.888871332,7.109492417,8.511160951,,0.728783071,,1010.897648,724.3986074,286.499041,,,,,,,,,
6.888845726,7.109485534,,6.951620661,8.512899552,,,,,,,6.951620661,7.125404079,8.512899552,,0.735168648,,1015.427666,724.6945879,290.7330778,,,,,,,,,
